Date,Adj Close,ticker,sector,Daily Return (%)
2016-04-07,173.27374267578125,SPY,Overall Market,
2016-04-08,173.7410888671875,SPY,Overall Market,0.2697155288442721
2016-04-11,173.33323669433594,SPY,Overall Market,-0.2347471030087367
2016-04-12,174.94747924804688,SPY,Overall Market,0.9312943002140806
2016-04-13,176.71458435058594,SPY,Overall Market,1.0100774873318397
2016-04-14,176.72314453125,SPY,Overall Market,0.0048440714135233875
2016-04-15,176.52772521972656,SPY,Overall Market,-0.11057935396169283
2016-04-18,177.76805114746094,SPY,Overall Market,0.7026238661323791
2016-04-19,178.328857421875,SPY,Overall Market,0.31547078948896967
2016-04-20,178.4987335205078,SPY,Overall Market,0.09526001629165393
2016-04-21,177.5386962890625,SPY,Overall Market,-0.5378398000426277
2016-04-22,177.5386962890625,SPY,Overall Market,0.0
2016-04-25,177.23287963867188,SPY,Overall Market,-0.1722535181246987
2016-04-26,177.49620056152344,SPY,Overall Market,0.14857340431888577
2016-04-27,177.861572265625,SPY,Overall Market,0.2058476198057546
2016-04-28,176.24729919433594,SPY,Overall Market,-0.9076008104090372
2016-04-29,175.29580688476562,SPY,Overall Market,-0.5398620653591757
2016-05-02,176.6891326904297,SPY,Overall Market,0.7948426322484714
2016-05-03,175.15135192871094,SPY,Overall Market,-0.8703312639001037
2016-05-04,174.17434692382812,SPY,Overall Market,-0.5578061454418415
2016-05-05,174.14036560058594,SPY,Overall Market,-0.019509947269702455
2016-05-06,174.7775421142578,SPY,Overall Market,0.36589822898001056
2016-05-09,174.92196655273438,SPY,Overall Market,0.08263329300177702
2016-05-10,177.09693908691406,SPY,Overall Market,1.2433958850582627
2016-05-11,175.44021606445312,SPY,Overall Market,-0.9354893602355641
2016-05-12,175.49118041992188,SPY,Overall Market,0.029049414445569965
2016-05-13,173.96194458007812,SPY,Overall Market,-0.8714032444163466
2016-05-16,175.6781463623047,SPY,Overall Market,0.9865386285312416
2016-05-17,174.0383758544922,SPY,Overall Market,-0.9333947003463794
2016-05-18,174.0894317626953,SPY,Overall Market,0.029336005896651862
2016-05-19,173.48614501953125,SPY,Overall Market,-0.34653840675774594
2016-05-20,174.58216857910156,SPY,Overall Market,0.631764317229444
2016-05-23,174.34425354003906,SPY,Overall Market,-0.13627682655041884
2016-05-24,176.60418701171875,SPY,Overall Market,1.2962477545385154
2016-05-25,177.8020782470703,SPY,Overall Market,0.6782915261641431
2016-05-26,177.8530731201172,SPY,Overall Market,0.028680695720550986
2016-05-27,178.61764526367188,SPY,Overall Market,0.42988975683220243
2016-05-31,178.2778778076172,SPY,Overall Market,-0.19022054375038566
2016-06-01,178.64320373535156,SPY,Overall Market,0.20491938328355275
2016-06-02,179.18695068359375,SPY,Overall Market,0.3043759498669196
2016-06-03,178.65170288085938,SPY,Overall Market,-0.29870914187245523
2016-06-06,179.5607452392578,SPY,Overall Market,0.5088349809935222
2016-06-07,179.841064453125,SPY,Overall Market,0.15611386190990117
2016-06-08,180.4273223876953,SPY,Overall Market,0.3259866907221909
2016-06-09,180.1809234619141,SPY,Overall Market,-0.13656408714627366
2016-06-10,178.4732666015625,SPY,Overall Market,-0.94774564784188
2016-06-13,177.09693908691406,SPY,Overall Market,-0.7711673243035677
2016-06-14,176.74864196777344,SPY,Overall Market,-0.19667032131464035
2016-06-15,176.50225830078125,SPY,Overall Market,-0.13939777089608807
2016-06-16,177.02894592285156,SPY,Overall Market,0.29840276670725085
2016-06-17,176.36964416503906,SPY,Overall Market,-0.37242596366122704
2016-06-20,177.5055389404297,SPY,Overall Market,0.6440421087019477
2016-06-21,178.00936889648438,SPY,Overall Market,0.28383900528521355
2016-06-22,177.71902465820312,SPY,Overall Market,-0.1631061556372826
2016-06-23,180.03338623046875,SPY,Overall Market,1.302258763076547
2016-06-24,173.5685577392578,SPY,Overall Market,-3.5909053462645057
2016-06-27,170.45997619628906,SPY,Overall Market,-1.7909819517188064
2016-06-28,173.5343780517578,SPY,Overall Market,1.8035916254784068
2016-06-29,176.48924255371094,SPY,Overall Market,1.7027545407007683
2016-06-30,178.8975067138672,SPY,Overall Market,1.3645387816899612
2016-07-01,179.27328491210938,SPY,Overall Market,0.2100522277502792
2016-07-05,177.98374938964844,SPY,Overall Market,-0.7193127091374207
2016-07-06,179.05120849609375,SPY,Overall Market,0.5997508818113451
2016-07-07,178.9402313232422,SPY,Overall Market,-0.061980689090956886
2016-07-08,181.6046905517578,SPY,Overall Market,1.4890218978774517
2016-07-11,182.2452392578125,SPY,Overall Market,0.35271594808952145
2016-07-12,183.5689392089844,SPY,Overall Market,0.7263289601213252
2016-07-13,183.54335021972656,SPY,Overall Market,-0.013939716254884882
2016-07-14,184.5680999755859,SPY,Overall Market,0.5583148365944979
2016-07-15,184.32049560546875,SPY,Overall Market,-0.13415339386920744
2016-07-18,184.8158264160156,SPY,Overall Market,0.2687334411291209
2016-07-19,184.62794494628903,SPY,Overall Market,-0.1016587558381743
2016-07-20,185.3965301513672,SPY,Overall Market,0.41628866383240926
2016-07-21,184.69618225097656,SPY,Overall Market,-0.37775674648216073
2016-07-22,185.52462768554688,SPY,Overall Market,0.44854496962183354
2016-07-25,185.0207672119141,SPY,Overall Market,-0.2715868399352339
2016-07-26,185.1061859130859,SPY,Overall Market,0.046167088407966794
2016-07-27,184.9097442626953,SPY,Overall Market,-0.10612376319115713
2016-07-28,185.1232147216797,SPY,Overall Market,0.11544575967890047
2016-07-29,185.422119140625,SPY,Overall Market,0.16146241809527062
2016-08-01,185.26844787597656,SPY,Overall Market,-0.08287644719014997
2016-08-02,184.0813446044922,SPY,Overall Market,-0.6407476745738494
2016-08-03,184.6193389892578,SPY,Overall Market,0.29225904771694733
2016-08-04,184.8158264160156,SPY,Overall Market,0.106428409847803
2016-08-05,186.3274383544922,SPY,Overall Market,0.8179017824339274
2016-08-08,186.2164001464844,SPY,Overall Market,-0.059593052418038805
2016-08-09,186.3274383544922,SPY,Overall Market,0.05962858691308526
2016-08-10,185.86627197265625,SPY,Overall Market,-0.24750320506127244
2016-08-11,186.72879028320312,SPY,Overall Market,0.46405316112101413
2016-08-12,186.56651306152344,SPY,Overall Market,-0.0869053033726419
2016-08-15,187.10455322265625,SPY,Overall Market,0.28839053284732685
2016-08-16,186.13954162597656,SPY,Overall Market,-0.5157606162215167
2016-08-17,186.4897003173828,SPY,Overall Market,0.1881162316977436
2016-08-18,186.9080810546875,SPY,Overall Market,0.2243452247457478
2016-08-19,186.6348114013672,SPY,Overall Market,-0.14620537099214737
2016-08-22,186.6262969970703,SPY,Overall Market,-0.004562066547464383
2016-08-23,187.0020446777344,SPY,Overall Market,0.20133694270856317
2016-08-24,186.04559326171875,SPY,Overall Market,-0.5114657530423949
2016-08-25,185.91751098632812,SPY,Overall Market,-0.06884456285425333
2016-08-26,185.5672912597656,SPY,Overall Market,-0.18837371730320296
2016-08-29,186.48110961914065,SPY,Overall Market,0.49244581476153293
2016-08-30,186.17369079589844,SPY,Overall Market,-0.16485252788879246
2016-08-31,185.64419555664065,SPY,Overall Market,-0.28440927232745716
2016-09-01,185.6527404785156,SPY,Overall Market,0.004602848933310533
2016-09-02,186.4897003173828,SPY,Overall Market,0.45082008308090504
2016-09-06,187.05328369140625,SPY,Overall Market,0.3022061663803921
2016-09-07,187.03623962402344,SPY,Overall Market,-0.009111878202006096
2016-09-08,186.6091766357422,SPY,Overall Market,-0.2283316800742563
2016-09-09,182.14279174804688,SPY,Overall Market,-2.3934433280382694
2016-09-12,184.75596618652344,SPY,Overall Market,1.4346845205333691
2016-09-13,182.10009765625,SPY,Overall Market,-1.4375008207270334
2016-09-14,182.03172302246097,SPY,Overall Market,-0.03754782928129252
2016-09-15,183.8508453369141,SPY,Overall Market,0.9993435672905449
2016-09-16,183.14010620117188,SPY,Overall Market,-0.38658464389421665
2016-09-19,183.17442321777344,SPY,Overall Market,0.01873812203858627
2016-09-20,183.1830139160156,SPY,Overall Market,0.004689900528287438
2016-09-21,185.2429962158203,SPY,Overall Market,1.1245487536028609
2016-09-22,186.41029357910156,SPY,Overall Market,0.6301438581360896
2016-09-23,185.3888702392578,SPY,Overall Market,-0.5479436356395806
2016-09-26,183.88682556152344,SPY,Overall Market,-0.8102129733008612
2016-09-27,185.0284118652344,SPY,Overall Market,0.6208091853372233
2016-09-28,185.94679260253903,SPY,Overall Market,0.4963457925442949
2016-09-29,184.26446533203125,SPY,Overall Market,-0.9047358370433134
2016-09-30,185.65496826171875,SPY,Overall Market,0.7546234848818667
2016-10-03,185.2086181640625,SPY,Overall Market,-0.24041915055407204
2016-10-04,184.26446533203125,SPY,Overall Market,-0.5097780229615934
2016-10-05,185.0798797607422,SPY,Overall Market,0.4425239707730011
2016-10-06,185.2086181640625,SPY,Overall Market,0.06955829206649611
2016-10-07,184.57342529296875,SPY,Overall Market,-0.34296075279341975
2016-10-10,185.53485107421875,SPY,Overall Market,0.5208906860367124
2016-10-11,183.19158935546875,SPY,Overall Market,-1.2629765810481808
2016-10-12,183.4319000244141,SPY,Overall Market,0.13117996835489976
2016-10-13,182.8311004638672,SPY,Overall Market,-0.32753275764298984
2016-10-14,182.92547607421875,SPY,Overall Market,0.05161901345673847
2016-10-17,182.29034423828125,SPY,Overall Market,-0.3472079721032473
2016-10-18,183.4319000244141,SPY,Overall Market,0.6262294313519101
2016-10-19,183.92117309570312,SPY,Overall Market,0.26673281540665617
2016-10-20,183.57781982421875,SPY,Overall Market,-0.18668501603440468
