timestamp,open,high,low,close,volume
2026-04-06,50.2100,50.4300,49.8500,50.2200,8885560
2026-04-02,50.0800,50.9200,49.9100,50.4100,13799934
2026-04-01,50.3400,50.6600,50.1650,50.4600,19966759
2026-03-31,49.5150,50.2300,49.2850,49.9700,20487775
2026-03-30,49.5100,49.7400,48.9001,49.0900,16612882
2026-03-27,49.0400,49.2900,48.7800,48.9100,10746256
2026-03-26,48.9700,49.7300,48.9650,49.0900,12903755
2026-03-25,49.0000,49.4450,48.6650,49.4100,15047127
2026-03-24,47.2750,48.7900,47.2400,48.4500,15814659
2026-03-23,47.4000,48.1500,47.3550,47.5500,19208407
2026-03-20,47.8500,47.9600,46.7300,46.9800,19735086
2026-03-19,47.6400,47.9950,47.2150,47.7400,23546718
2026-03-18,49.1800,49.2750,48.4800,48.4800,16432435
2026-03-17,49.6800,49.9800,49.4800,49.5200,12770548
2026-03-16,49.4600,49.7650,49.0900,49.4000,15641254
2026-03-13,50.0300,50.1300,49.0100,49.1900,17240310
2026-03-12,49.7900,50.2300,49.6300,49.6800,19572873
2026-03-11,49.7300,49.8900,49.2800,49.8400,12570923
2026-03-10,49.9900,50.4200,49.6300,49.8800,19214972
2026-03-09,49.2600,50.1850,48.6000,49.9900,22461901
2026-03-06,50.3100,50.3600,49.4400,49.8600,23171127
2026-03-05,51.6000,51.7800,50.5100,50.8300,19902083
2026-03-04,52.3200,52.3800,51.6750,51.9200,17141841
2026-03-03,51.6700,52.0850,50.6900,51.9400,27307856
2026-03-02,53.0700,53.3850,52.5100,53.2500,19444582
2026-02-27,52.8600,53.4850,52.6700,53.4100,12122719
2026-02-26,52.8900,53.1200,52.3450,53.0000,15645084
2026-02-25,53.7300,53.7500,52.6650,53.0600,12379430
2026-02-24,52.9600,53.5000,52.9100,53.3600,13452185
2026-02-23,52.4900,53.1000,52.3600,52.9600,17354008
2026-02-20,52.6200,53.2535,52.3200,52.9600,17810549
2026-02-19,52.6500,53.1700,52.4300,52.8300,18340238
2026-02-18,53.0000,53.3400,52.7400,53.0200,11992740
2026-02-17,52.7000,52.9650,52.0800,52.7000,20404661
2026-02-13,52.5400,53.6370,52.4400,53.3100,19918942
2026-02-12,53.6700,54.1400,52.7400,52.8300,30108108
2026-02-11,53.1100,53.6700,53.1100,53.6200,24891284
2026-02-10,52.1500,52.9850,52.1200,52.9100,18381378
2026-02-09,51.4700,52.3100,51.2650,52.1800,12325169
2026-02-06,50.8600,51.6150,50.8600,51.5100,14367401
2026-02-05,51.3800,51.5200,50.3601,50.5000,25667272
2026-02-04,51.0100,52.0200,51.0100,51.8900,35878617
2026-02-03,50.1800,51.2200,50.0600,50.7000,34015646
2026-02-02,49.2500,49.8100,49.2000,49.6500,25155336
2026-01-30,49.2150,49.6500,48.8100,49.2700,28082600
2026-01-29,50.4500,50.6200,49.2850,50.0000,20503731
2026-01-28,50.1200,50.2100,49.5400,49.9500,13517233
2026-01-27,49.8650,50.1800,49.6800,49.9800,10116928
2026-01-26,50.4200,50.4750,50.0150,50.0300,13900941
2026-01-23,49.4600,49.9900,49.3600,49.9700,19550710
2026-01-22,49.3700,49.8300,49.3500,49.5200,14648291
2026-01-21,48.8200,49.3800,48.6700,49.2400,16940422
