timestamp,open,high,low,close,volume
2026-04-06,655.8600,659.7200,655.5200,658.9300,39105758
2026-04-02,646.4200,658.2000,645.1100,655.8300,68358713
2026-04-01,653.9000,658.5200,653.0000,655.2400,97841472
2026-03-31,638.9400,651.5400,637.9800,650.3400,152534102
2026-03-30,640.1100,640.3700,629.2800,631.9700,99275851
2026-03-27,642.5000,642.6600,633.1050,634.0900,103649368
2026-03-26,652.0600,654.8500,644.8200,645.0900,96494375
2026-03-25,658.6700,660.8900,654.2400,656.8200,90653787
2026-03-24,651.3200,657.0300,649.8800,653.1800,96457478
2026-03-23,658.0700,662.6150,653.9400,655.3800,134802732
2026-03-20,656.5100,656.6900,644.7200,648.5700,163617522
2026-03-19,656.9700,662.9800,655.1700,659.8000,111272539
2026-03-18,668.3600,669.7200,661.1900,661.4300,82062576
2026-03-17,672.3900,674.4400,669.7000,670.7900,87128044
2026-03-16,668.3800,672.0700,667.1200,669.0300,82023130
2026-03-13,669.2700,672.3350,661.3600,662.2900,97200242
2026-03-12,671.1600,671.6500,665.8700,666.0600,108882246
2026-03-11,677.5800,680.0800,673.3400,676.3300,68441672
2026-03-10,677.7200,683.3600,674.7600,677.1800,81505315
2026-03-09,666.3900,679.9200,662.3900,678.2700,102667711
2026-03-06,673.4100,676.1100,669.7600,672.3800,100686951
2026-03-05,682.0800,685.5300,675.6100,681.3100,106606464
2026-03-04,681.6300,687.0900,679.6200,685.1300,79182244
2026-03-03,675.0600,682.6100,669.6600,680.3300,105003113
2026-03-02,678.7000,688.6200,678.0200,686.3800,87477198
2026-02-27,683.0900,686.8600,681.6400,685.9900,83308868
2026-02-26,693.2800,693.3000,684.3500,689.3000,71670990
2026-02-25,690.1800,693.6800,690.1000,693.1500,56369479
2026-02-24,681.9000,688.3500,680.0000,687.3500,73798727
2026-02-23,687.8300,690.0000,680.3710,682.3900,90558087
2026-02-20,682.3200,690.0600,681.7300,689.4300,100033986
2026-02-19,683.8400,686.1800,681.5475,684.4800,58649363
2026-02-18,684.0200,689.1500,682.8300,686.2900,73570341
2026-02-17,680.1400,684.9400,675.7800,682.8500,81354660
2026-02-13,681.6900,686.2800,677.5200,681.7500,96267487
2026-02-12,694.2400,695.3500,680.3700,681.2700,118828963
2026-02-11,696.3900,697.1400,689.1800,691.9600,76353872
2026-02-10,694.9500,696.5400,691.6600,692.1200,65185725
2026-02-09,689.4200,695.8700,688.3400,693.9500,73885192
2026-02-06,681.4600,692.3100,680.8500,690.6200,89127566
2026-02-05,680.9400,683.6900,675.7900,677.6200,113610812
2026-02-04,690.3500,691.4500,681.7600,686.1900,105204600
2026-02-03,696.2100,696.9600,684.0300,689.5300,105889540
2026-02-02,689.5800,696.9300,689.4200,695.4100,77975410
2026-01-30,691.7900,694.2100,687.1200,691.9700,101835131
2026-01-29,696.3900,697.0600,684.8300,694.0400,97486198
2026-01-28,697.0500,697.8400,693.9400,695.4200,61172165
2026-01-27,694.1800,696.5300,693.5700,695.4900,54124395
2026-01-26,690.4900,694.1300,689.9200,692.7300,60473813
2026-01-23,688.1500,690.9600,687.1600,689.2300,63059578
2026-01-22,689.8500,691.1300,686.9200,688.9800,77112243
2026-01-21,679.6500,688.7350,678.1300,685.4000,127844467
2026-01-20,681.4900,684.7700,676.5700,677.5800,107178877
2026-01-16,693.6600,694.2500,690.1000,691.6600,79289200
2026-01-15,694.5700,695.4500,691.2500,692.2400,77861974
2026-01-14,691.0000,691.7200,686.0400,690.3600,94676684
2026-01-13,695.4900,696.0900,691.3500,693.7700,78309726
2026-01-12,690.6800,696.0900,690.6300,695.1600,63976002
2026-01-09,690.6300,695.3100,689.1800,694.0700,80125467
2026-01-08,688.8200,690.6150,687.4900,689.5100,64019200
2026-01-07,692.1900,693.9600,689.3200,689.5800,75588337
2026-01-06,687.9300,692.3150,687.7800,691.8100,69273827
2026-01-05,686.5400,689.4300,686.3750,687.7200,71927191
2026-01-02,685.7100,686.8700,679.8200,683.1700,89377203
2025-12-31,687.1400,687.3600,681.7100,681.9200,74144801
2025-12-30,687.4450,688.5550,686.5800,687.0100,47160671
2025-12-29,687.5400,689.2000,686.0700,687.8500,62559503
2025-12-26,690.6400,691.6600,689.2700,690.3100,41613347
2025-12-24,687.9500,690.8300,687.8000,690.3800,39445560
2025-12-23,683.9200,688.2000,683.8700,687.9600,64839951
2025-12-22,683.9400,685.3600,680.5868,684.8300,69556733
2025-12-19,676.5900,681.0900,676.4700,680.5900,103599543
2025-12-18,677.6000,680.7400,674.9000,676.4700,108650128
2025-12-17,679.8900,680.4350,671.1950,671.4000,110625198
2025-12-16,679.2300,681.0800,674.9800,678.8700,122030631
2025-12-15,685.7400,685.7600,679.2500,680.7300,90810952
2025-12-12,688.1700,688.8800,679.1744,681.7600,113160347
2025-12-11,685.1400,689.2500,682.1650,689.1700,86173678
2025-12-10,682.5600,688.9700,681.3100,687.5700,85671334
2025-12-09,683.1500,685.3850,682.5900,683.0400,56313923
2025-12-08,686.5900,686.6400,681.5700,683.6300,53033654
2025-12-05,685.4700,688.3900,684.5800,685.6900,79241045
2025-12-04,685.3000,685.3700,681.3400,684.3900,61970336
2025-12-03,680.5700,684.9100,679.6900,683.8900,57238481
2025-12-02,681.9200,683.8200,679.3275,681.5300,62953844
2025-12-01,678.8100,682.9900,678.7400,680.2700,61201193
2025-11-28,680.8600,683.6650,680.5000,683.3900,49212030
2025-11-26,677.6300,681.7000,676.7200,679.6800,71879597
2025-11-25,668.6300,676.2100,664.4800,675.0200,81077088
2025-11-24,662.6900,670.0600,661.5900,668.7300,80437940
2025-11-21,655.0500,664.5500,650.8500,659.0300,123956203
2025-11-20,672.9100,675.5600,651.8900,652.5300,165293521
2025-11-19,660.7800,667.3400,658.7450,662.6300,94702955
2025-11-18,662.0950,665.1200,655.8600,660.0800,114467488
2025-11-17,669.7000,673.7100,662.1700,665.6700,90456105
2025-11-14,665.3800,675.6600,663.2650,671.9300,96846672
2025-11-13,680.5000,680.8600,670.5200,672.0400,103457788
2025-11-12,684.7900,684.9600,680.9450,683.3800,62312484
2025-11-11,679.9500,683.5700,678.7300,683.0000,58953385
2025-11-10,677.2350,682.1800,675.0300,681.4400,75842888
