Date,Adj Close,Close,High,Low,Open,Volume
2021-04-07,83.29277801513672,86.75,87.2699966430664,86.5999984741211,86.95999908447266,5049400
2021-04-08,83.68647003173828,87.16000366210938,87.36000061035156,86.5999984741211,87.23500061035156,6424800
2021-04-09,84.48338317871094,87.98999786376953,88.01000213623047,86.98500061035156,87.08000183105469,6093800
2021-04-12,85.02583312988281,88.55500030517578,88.63999938964844,87.91000366210938,87.98500061035156,6285600
2021-04-13,85.92361450195312,89.48999786376953,89.66500091552734,88.58499908447266,88.70500183105469,5351200
2021-04-14,85.07867431640625,88.61000061035156,90.08000183105469,88.42500305175781,89.69000244140625,6676400
2021-04-15,85.68834686279297,89.24500274658203,89.30000305175781,88.74500274658203,89.2300033569336,5031200
2021-04-16,86.3508529663086,89.93499755859375,90.05500030517578,89.22000122070312,89.45999908447266,5276000
2021-04-19,85.381103515625,88.92500305175781,89.5250015258789,88.6449966430664,89.44000244140625,7030800
2021-04-20,84.30574035644531,87.80500030517578,88.81500244140625,87.1500015258789,88.61000061035156,8462000
2021-04-21,85.42912292480469,88.9749984741211,89.06999969482422,87.30000305175781,87.4749984741211,5540000
2021-04-22,84.48338317871094,87.98999786376953,89.21499633789062,87.66500091552734,89.08499908447266,5960000
2021-04-23,85.36669921875,88.91000366210938,89.2750015258789,87.98999786376953,88.2750015258789,3823800
2021-04-26,85.74117279052734,89.30000305175781,89.58499908447266,88.72000122070312,89.20999908447266,4460600
2021-04-27,85.64034271240234,89.19499969482422,89.55500030517578,88.99500274658203,89.34500122070312,4438600
2021-04-28,85.5395278930664,89.08999633789062,89.56999969482422,88.88500213623047,89.08499908447266,4761400
2021-04-29,85.56353759765625,89.11499786376953,89.70999908447266,88.32499694824219,89.65499877929688,6444600
2021-04-30,85.894775390625,89.45999908447266,89.74500274658203,88.94000244140625,89.01000213623047,5651000
2021-05-03,85.48673248291016,89.03500366210938,89.98999786376953,88.91500091552734,89.94499969482422,7371400
2021-05-04,84.59378814697266,88.1050033569336,88.51000213623047,87.00499725341797,88.37000274658203,9207200
2021-05-05,84.32974243164062,87.83000183105469,88.7249984741211,87.68000030517578,88.7249984741211,6325000
2021-05-06,84.51217651367188,88.0199966430664,88.1500015258789,87.18000030517578,88.0199966430664,7850600
2021-05-07,85.27067565917969,88.80999755859375,89.05000305175781,87.90499877929688,88.36499786376953,6750200
2021-05-10,83.75367736816406,87.2300033569336,88.83999633789062,87.22000122070312,88.83999633789062,6976000
2021-05-11,82.80792236328125,86.24500274658203,86.57499694824219,84.90499877929688,85.76499938964844,14220800
2021-05-12,80.00425720214844,83.32499694824219,85.66500091552734,83.13999938964844,85.26000213623047,14124000
2021-05-13,80.57077026367188,83.91500091552734,84.7249984741211,83.01000213623047,83.90499877929688,14082400
2021-05-14,81.96776580810547,85.37000274658203,85.55500030517578,84.47000122070312,84.70999908447266,8211800
2021-05-17,81.81895446777344,85.21499633789062,85.41500091552734,84.45500183105469,85.11499786376953,10445000
2021-05-18,81.18045806884766,84.55000305175781,85.79000091552734,84.54000091552734,85.40499877929688,7756800
2021-05-19,80.49874877929688,83.83999633789062,83.88500213623047,82.74500274658203,83.16999816894531,14120400
2021-05-20,81.32449340820312,84.69999694824219,84.88500213623047,84.1449966430664,84.25499725341797,9068000
2021-05-21,80.91642761230469,84.2750015258789,85.26499938964844,84.23999786376953,85.26499938964844,7770600
2021-05-24,81.71815490722656,85.11000061035156,85.51000213623047,84.44000244140625,84.7300033569336,6726800
2021-05-25,81.9773941040039,85.37999725341797,85.7699966430664,84.84500122070312,85.49500274658203,7133800
2021-05-26,82.7599105834961,86.19499969482422,86.55999755859375,85.69999694824219,85.78500366210938,7473600
2021-05-27,83.0911636352539,86.54000091552734,86.73500061035156,86.25,86.51499938964844,7783600
2021-05-28,82.97594451904297,86.41999816894531,86.9000015258789,86.21499633789062,86.9000015258789,6451200
2021-06-01,82.8175277709961,86.25499725341797,86.99500274658203,86.0999984741211,86.93499755859375,9361200
